"userName","numberOfTweets","url"
"AINewsFeed",2359,"https://twitter.com/AINewsFeed"
"into_AI",1518,"https://twitter.com/into_AI"
"IoTBigDataJobs",383,"https://twitter.com/IoTBigDataJobs"
"nigewillson",374,"https://twitter.com/nigewillson"
"sureshone",316,"https://twitter.com/sureshone"
"PleasureEthics",307,"https://twitter.com/PleasureEthics"
"mlmemoirs",300,"https://twitter.com/mlmemoirs"
"stanford__ai",283,"https://twitter.com/stanford__ai"
"aadrake",198,"https://twitter.com/aadrake"
"iamChuckRussell",175,"https://twitter.com/iamChuckRussell"
"igent_io",173,"https://twitter.com/igent_io"
"curated_data",171,"https://twitter.com/curated_data"
"sahdevt",164,"https://twitter.com/sahdevt"
"tensorflow_guru",158,"https://twitter.com/tensorflow_guru"
"tensorflow_tut",158,"https://twitter.com/tensorflow_tut"
"machines_learn",152,"https://twitter.com/machines_learn"
"tensorflow_devp",152,"https://twitter.com/tensorflow_devp"
"machine_tuts",151,"https://twitter.com/machine_tuts"
"AiGame_dev",149,"https://twitter.com/AiGame_dev"
"AI_devr",149,"https://twitter.com/AI_devr"
"AiBlessing",149,"https://twitter.com/AiBlessing"
"AI_Developers",148,"https://twitter.com/AI_Developers"
"Ai_Fanc",148,"https://twitter.com/Ai_Fanc"
"AI_GameDesign",147,"https://twitter.com/AI_GameDesign"
"tensorflow_geek",143,"https://twitter.com/tensorflow_geek"
"tensorflow_dev",143,"https://twitter.com/tensorflow_dev"
"tensorflow_fan",143,"https://twitter.com/tensorflow_fan"
"ZuzuDotAI",136,"https://twitter.com/ZuzuDotAI"
"PropriusSearch",126,"https://twitter.com/PropriusSearch"
"RichardEudes",125,"https://twitter.com/RichardEudes"
"orlandorussian",121,"https://twitter.com/orlandorussian"
"future_of_AI",118,"https://twitter.com/future_of_AI"
"CMTcameramodule",117,"https://twitter.com/CMTcameramodule"
"Teamcoders15",105,"https://twitter.com/Teamcoders15"
"ntpowerbi",104,"https://twitter.com/ntpowerbi"
"djordjije83",96,"https://twitter.com/djordjije83"
"WorldTrendsInfo",95,"https://twitter.com/WorldTrendsInfo"
"AnalyticsFrance",94,"https://twitter.com/AnalyticsFrance"
"RitonKhan",91,"https://twitter.com/RitonKhan"
"Softnet_Search",86,"https://twitter.com/Softnet_Search"
"Harry_Robots",84,"https://twitter.com/Harry_Robots"
"BigDataGear",83,"https://twitter.com/BigDataGear"
"MotorcycleTwitt",83,"https://twitter.com/MotorcycleTwitt"
"Monteagudo_AI",81,"https://twitter.com/Monteagudo_AI"
"hudson_chatbots",80,"https://twitter.com/hudson_chatbots"
"clamontpatrick",80,"https://twitter.com/clamontpatrick"
"Bigdatadimenson",79,"https://twitter.com/Bigdatadimenson"
"clark_robotics",76,"https://twitter.com/clark_robotics"
"AustraliaAi",76,"https://twitter.com/AustraliaAi"
"Claire_Harris82",75,"https://twitter.com/Claire_Harris82"
"AngelHealthTech",74,"https://twitter.com/AngelHealthTech"
"DataScientistsF",73,"https://twitter.com/DataScientistsF"
"nomiiguruchiku",72,"https://twitter.com/nomiiguruchiku"
"Ferbeltranmx",72,"https://twitter.com/Ferbeltranmx"
"DataScientistFr",72,"https://twitter.com/DataScientistFr"
"feteoze54",71,"https://twitter.com/feteoze54"
"rautsan",70,"https://twitter.com/rautsan"
"vipsgupta",69,"https://twitter.com/vipsgupta"
"BigData_Fr",69,"https://twitter.com/BigData_Fr"
"PBBsRealm",68,"https://twitter.com/PBBsRealm"
"Nadia__Rafiq",68,"https://twitter.com/Nadia__Rafiq"
"alison_iot",66,"https://twitter.com/alison_iot"
"DataScienceFr",65,"https://twitter.com/DataScienceFr"
"Social_Molly",65,"https://twitter.com/Social_Molly"
"Hogwild73",64,"https://twitter.com/Hogwild73"
"CoinCapsAi",63,"https://twitter.com/CoinCapsAi"
"prakashd",61,"https://twitter.com/prakashd"
"BigData_Joe",61,"https://twitter.com/BigData_Joe"
"sajidmirza",60,"https://twitter.com/sajidmirza"
"FollowSamir",59,"https://twitter.com/FollowSamir"
"TheWriteCure",59,"https://twitter.com/TheWriteCure"
"jackcoleman219",59,"https://twitter.com/jackcoleman219"
"sjoerdapp",57,"https://twitter.com/sjoerdapp"
"jmmoran12",57,"https://twitter.com/jmmoran12"
"PD_MobileApps",56,"https://twitter.com/PD_MobileApps"
"Chuck_Moeller",55,"https://twitter.com/Chuck_Moeller"
"GFACCORD",55,"https://twitter.com/GFACCORD"
"meplassey",55,"https://twitter.com/meplassey"
"AnalyticsFr",55,"https://twitter.com/AnalyticsFr"
"annika1021",55,"https://twitter.com/annika1021"
"scorpion1958",54,"https://twitter.com/scorpion1958"
"DecisionsSmart",53,"https://twitter.com/DecisionsSmart"
"jondcarroll",52,"https://twitter.com/jondcarroll"
"PhilipPaisnel",52,"https://twitter.com/PhilipPaisnel"
"Rick345",52,"https://twitter.com/Rick345"
"onoffonoff",51,"https://twitter.com/onoffonoff"
"phas3two",50,"https://twitter.com/phas3two"
"AI_DataJobs",49,"https://twitter.com/AI_DataJobs"
"DookChunk",49,"https://twitter.com/DookChunk"
"AIAdamUK",49,"https://twitter.com/AIAdamUK"
"grjenkin",49,"https://twitter.com/grjenkin"
"vestergaardj",48,"https://twitter.com/vestergaardj"
"evankirstel",47,"https://twitter.com/evankirstel"
"mycroft_ai",47,"https://twitter.com/mycroft_ai"
"chuck607",46,"https://twitter.com/chuck607"
"jaivelu",46,"https://twitter.com/jaivelu"
"marybueno_rpa",46,"https://twitter.com/marybueno_rpa"
"sdxcentral",45,"https://twitter.com/sdxcentral"
"DataScout1",45,"https://twitter.com/DataScout1"
"Nathealings",45,"https://twitter.com/Nathealings"
"milocamj",45,"https://twitter.com/milocamj"
"danielb",44,"https://twitter.com/danielb"
"OHTRTA",44,"https://twitter.com/OHTRTA"
"madunix",44,"https://twitter.com/madunix"
"annamacmillan",43,"https://twitter.com/annamacmillan"
"ramyelkhoulany",43,"https://twitter.com/ramyelkhoulany"
"RoadWarriorsUSA",43,"https://twitter.com/RoadWarriorsUSA"
"shashib",43,"https://twitter.com/shashib"
"seetechnologic",43,"https://twitter.com/seetechnologic"
"Thinkedge",43,"https://twitter.com/Thinkedge"
"ajlopez",43,"https://twitter.com/ajlopez"
"PredictableData",43,"https://twitter.com/PredictableData"
"minsehira72",43,"https://twitter.com/minsehira72"
"ShivaMolabanti",42,"https://twitter.com/ShivaMolabanti"
"CreativeConstr",42,"https://twitter.com/CreativeConstr"
"mipphillips",42,"https://twitter.com/mipphillips"
"grattonboy",42,"https://twitter.com/grattonboy"
"Charly_BG",41,"https://twitter.com/Charly_BG"
"ds_vault",41,"https://twitter.com/ds_vault"
"Bineural",41,"https://twitter.com/Bineural"
"amolexis",41,"https://twitter.com/amolexis"
"grattongirl",41,"https://twitter.com/grattongirl"
"deejayiwan",40,"https://twitter.com/deejayiwan"
"kickstartAI",40,"https://twitter.com/kickstartAI"
"tarheelgis",40,"https://twitter.com/tarheelgis"
"futeye",39,"https://twitter.com/futeye"
"Francesco_AI",39,"https://twitter.com/Francesco_AI"
"3D_michelle",39,"https://twitter.com/3D_michelle"
"MachineCoding",39,"https://twitter.com/MachineCoding"
"pico",39,"https://twitter.com/pico"
"Adevi_ai",39,"https://twitter.com/Adevi_ai"
"harlechnnorfolk",38,"https://twitter.com/harlechnnorfolk"
"togreigi21",38,"https://twitter.com/togreigi21"
"BenefitRx",38,"https://twitter.com/BenefitRx"
"xemeto",38,"https://twitter.com/xemeto"
"paultaylor1001",37,"https://twitter.com/paultaylor1001"
"AltaStrategy",37,"https://twitter.com/AltaStrategy"
"StrategicFD",37,"https://twitter.com/StrategicFD"
"silverdata",37,"https://twitter.com/silverdata"
"deeplearning_kj",37,"https://twitter.com/deeplearning_kj"
