"author","rank","avgSentiment","isOrganisation"
"VentureBeat",82.92504080205175,-1,true
"Treadstone71LLC",36.800419678246676,2,true
"TheIotWarehouse",19.427372347866637,-0.0625,true
"Startup_Canada",11.477500582886453,0,true
"7wData",9.397645138726975,0.3333333333333333,true
"DigitalicMag",9.075542084401958,2,true
"tecnbiz",8.817323385404523,2,true
"tekkaus",8.407437631149453,2.3333333333333335,true
"SASsoftware",6.555490790394031,1.75,true
"sdxcentral",6.127418978782933,0.5,true
"TheOrganicView",5.868151084168804,2,true
"StandardofTrust",5.186640242480765,3.2,true
"hackernoon",4.890417346700863,-0.35714285714285715,true
"sdxtech",4.678946141291676,-0.13333333333333333,true
"SwissNetInc",4.3852879459081375,1.8,true
"workonline44",4.224061552809513,0.6818181818181818,true
"Change_HC",3.5967591513173236,0.16666666666666666,true
"TGC_Consultants",3.5272790860340404,2,true
"YODspica",3.4764513872697598,0,true
"CarConcerns",3.2333877360690138,0.5,true
"PacktPub",3.1839589647936584,-0.5,true
"UnmannedSystem",2.9875262298904173,0,true
"coluxtech",2.9759850781067847,0.75,true
"OneWiretweets",2.950804383306132,2,true
"ChiwaoCom",2.450221496852413,2,true
"MedicaliPhone",2.3112613662858474,0.5,true
"embedded_comp",2.287829330846351,1.25,true
"BIG_DATA_News",2.2863138260666824,0.48148148148148145,true
"Xprtly",2.1238050827698762,0,true
"transhumanismAU",2.097458615061786,1.6,true
"logicearth",2.0455817206808113,2,true
"onmedic",1.8528794590813709,2,true
"altaempleo",1.8194217766379108,2.1538461538461537,true
"SocialRaceMedia",1.8043833061319654,2,true
"SuccessntheCity",1.7242947073910002,0,true
"nordicinst",1.539869433434367,0.3333333333333333,true
"TheiMums",1.4664257402657963,2,true
"dmarketingdepot",1.4466076008393565,2,true
"InfoProNetwork",1.4304033574259734,-0.05555555555555555,true
"GFACCORD",1.428654698064817,2.046511627906977,true
"StateofGlobe",1.37794357659128,2,true
"PAY_Symposium",1.3604569829797155,1.4666666666666666,true
"mfavourite",1.3463511307997202,2,true
"athenspc",1.2794357659128002,0,true
"Necio_news",1.2301235719281884,1.0666666666666667,true
"ivrpowers",1.2182326882723244,3.3333333333333335,true
"Softnet_Search",1.2041268360923292,0.4225352112676056,true
"NCTA",1.2040102588015855,2,true
"Capture_Billing",1.2026113313126603,2,true
"TboltProducts",1.1665889484728376,2.3333333333333335,true
"onmedicglobal",1.0945441827931919,2,true
"VizWorld",1.0875495453485662,1.1538461538461537,true
"BlueWhaleInc",1.0582886453718816,0.2857142857142857,true
"linkedlocalnet",1.0367218465842853,2.25,true
"SSBarristers",1.0279785497785032,2,true
"AR_bulletin",1.026579622289578,2,true
"GamerGeekNews",1.0146887386337142,0,true
"Atlanta_SEO_Pro",0.9863604569829797,2.4761904761904763,true
"pixfan",0.9757519235252973,2,true
"PD_MobileApps",0.9589647936581954,0.2826086956521739,true
"dkwonline",0.9481231056190255,2,true
"karategb",0.9421776637910935,2,true
"simplivllc",0.9256236885054792,2,true
"MuseumofRobots",0.9166472371182094,2,true
"StorageCraft",0.9146654231755654,-0.5,true
"Hixsons",0.9009093028678014,1,true
"apolloenergies",0.8880858008859874,0,true
"EverLearnTweets",0.8681510841688039,-0.2,true
"Twinybots",0.8668687339706225,1,true
"3rdrockcrypto",0.865120074609466,1.8571428571428572,true
"360fashion",0.809512706924691,1.75,true
"CircleBackInc",0.8078806248542784,0.6666666666666666,true
"ai_expo",0.7936581953835393,1.3333333333333333,true
"mybizon",0.7717416647237119,2,true
"crypt_iq",0.7695266961995804,2,true
"ciodashboard",0.7626486360456983,2,true
"BRIDGEi2i",0.7560037304733038,2,true
"GrupoTreinar",0.7077407321053859,0,true
"HarbRimah",0.7028444858941478,0.625,true
"releaseman",0.6831429237584519,2,true
"DataCtrIndustry",0.6581953835392865,2,true
"studentforce",0.6534157146187922,0.058823529411764705,true
"POTENTL",0.642224294707391,0,true
"Markzware",0.6168104453252506,2,true
"MOOCsNews",0.6115644672417813,0,true
"mycroft_ai",0.6070179529027745,0.175,true
"diligent_li",0.5973420377710422,1.3333333333333333,true
"ittechbuz",0.5909302867801353,0.5,true
"MastersConf",0.582186989974353,1.6,true
"wellthlearning",0.5621356959664258,1.5,true
"ZuzuDotAI",0.5490790394031243,0.6355140186915887,true
"DigitalNIreland",0.5489624621123805,2,true
"Smart_IoT",0.5476801119141991,1,true
"jpointon",0.5317090230823036,1,true
"TheScopeWeekly",0.5258801585451154,1.8,true
"Claire_Harris82",0.5223828398228025,0.2413793103448276,true
"automotivespace",0.5173700163208207,2,true
"CLOUDHealth",0.5051294007927256,2,true
"CBDnewME",0.5047796689204943,1.875,true
"jpeMEDIA",0.4902075075775239,2,true
"BigDataBody",0.48437864304033573,0.4,true
"NvrWrk",0.45185357892282585,1,true
"CoreElemnt",0.4490557239449755,0,true
"TIMBERPROUK",0.4460247143856377,2,true
"fortivus",0.4428771275355561,0.3,true
